dose,replicate,scoring,recall_at_10,mrr,ndcg_at_10
0.25,66,semantic,0.05652955556386018,0.773921568627451,0.7860940759951378
0.25,67,strict,0.058137900384248334,0.36488203452249796,0.23885770407592583
0.25,67,semantic,0.0560542630299854,0.8586274509803922,0.8101045287838089
0.25,68,strict,0.05622292042828947,0.3779023089657144,0.23890891304978745
0.25,68,semantic,0.05404906536550248,0.9052941176470588,0.8184258773733611
0.25,69,strict,0.060244226563032896,0.4114290824102625,0.24951660814506968
0.25,69,semantic,0.05726709265340382,0.836078431372549,0.8298170702762374
0.25,70,strict,0.05717387411862187,0.38860107031204133,0.2386406720578447
0.25,70,semantic,0.05686421862770542,0.8245098039215686,0.8043962912393535
0.25,71,strict,0.061123095661808395,0.42564572797036665,0.256348191739774
0.25,71,semantic,0.05882440902682841,0.912156862745098,0.8552778028053427
0.25,72,strict,0.057662546425918684,0.41874973012755534,0.2528152629234934
0.25,72,semantic,0.05635907407038899,0.8852941176470588,0.8232363911768855
0.25,73,strict,0.052742623599545416,0.3998460392146315,0.24094200438400465
0.25,73,semantic,0.055139179989067096,0.919607843137255,0.8326404007083157
0.25,74,strict,0.05509743994065376,0.3808374209974361,0.24093413325826485
0.25,74,semantic,0.05504848297753206,0.8611764705882353,0.79069597355017
0.25,75,strict,0.05899895900260525,0.3862968635765918,0.24813427234686822
0.25,75,semantic,0.05793874038806569,0.8396078431372548,0.8433814017744203
0.25,76,strict,0.060686710421202474,0.4064029987551323,0.24947803654090608
0.25,76,semantic,0.05723053629790868,0.8472549019607843,0.8079673656453897
0.25,77,strict,0.06021616961470435,0.38860439517578077,0.24367109892976235
0.25,77,semantic,0.05755715676817834,0.8301960784313726,0.8203017050042738
0.25,78,strict,0.056362724296052075,0.39937393307129765,0.24865559645377985
0.25,78,semantic,0.055811640448974506,0.8435294117647059,0.8214253906239393
0.25,79,strict,0.05867097731316221,0.4127032999395396,0.25353081997237376
0.25,79,semantic,0.05739326694532835,0.8915686274509804,0.8469898264399934
0.25,80,strict,0.057541523766556794,0.3848218079835271,0.2311781336884045
0.25,80,semantic,0.05385979415928341,0.8209803921568627,0.7852673922434816
0.25,81,strict,0.05327206142535217,0.3747796605106575,0.24289541706735693
0.25,81,semantic,0.056646637492100325,0.8237254901960784,0.8063030521791857
0.25,82,strict,0.0591062094577362,0.3964088362091944,0.24605526595169225
0.25,82,semantic,0.05405763870513183,0.9009803921568627,0.7982155795939586
0.25,83,strict,0.06364753595739331,0.4068247992969993,0.25131086724003526
0.25,83,semantic,0.05779709957003429,0.8970588235294118,0.8430031861114147
0.25,84,strict,0.055114068499540356,0.3537688885481122,0.2226154030715913
0.25,84,semantic,0.05407433604110574,0.7447525676937441,0.738039733134192
0.25,85,strict,0.057251358541906806,0.368782246478271,0.23480101404609632
0.25,85,semantic,0.055501997340204064,0.7935294117647059,0.7831403821841048
0.25,86,strict,0.056731720840585385,0.37789388690183096,0.23123848198048796
0.25,86,semantic,0.05431303826476239,0.8550980392156863,0.792550982696253
0.25,87,strict,0.05656562135884413,0.4119043180184989,0.24618776578873974
0.25,87,semantic,0.0544138194513191,0.8713725490196078,0.8023236377867283
0.25,88,strict,0.05955622398077417,0.39298743895219795,0.2483863446668314
0.25,88,semantic,0.05957862196201494,0.8507843137254901,0.8413827103724194
0.25,89,strict,0.058907760792738524,0.4054184947982238,0.2556053007619655
0.25,89,semantic,0.057085235611383775,0.888235294117647,0.8496735673973005
0.25,90,strict,0.05664816198848694,0.3894461867982755,0.23565509691227687
0.25,90,semantic,0.056077571573245076,0.8552941176470589,0.8087527147389235
0.25,91,strict,0.056105900091334565,0.41594692139958217,0.24407144134291808
0.25,91,semantic,0.05752927469174609,0.9037254901960784,0.8292140287368066
0.25,92,strict,0.053460309822547396,0.32910113046365463,0.22247320986822572
0.25,92,semantic,0.054775135735396004,0.8190196078431372,0.7932548097072016
0.25,93,strict,0.056247411940619954,0.3938350310745968,0.252072600378309
0.25,93,semantic,0.056224056181642085,0.8837254901960784,0.8400219337669182
0.25,94,strict,0.05107948063680973,0.36604068516185506,0.23323967691778424
0.25,94,semantic,0.05554659628927478,0.8125490196078431,0.7994825147568282
0.25,95,strict,0.05633467837247789,0.3994231115691771,0.24357839585638746
0.25,95,semantic,0.05600743364504454,0.8405882352941176,0.8088400565282557
0.25,96,strict,0.05863616890780565,0.40553914738226066,0.24413156213993856
0.25,96,semantic,0.05385041004807498,0.8352941176470589,0.7917325082764519
0.25,97,strict,0.05463593033341812,0.41601548802218913,0.24006041357561636
0.25,97,semantic,0.05357678278041363,0.8390196078431372,0.7866272779588332
0.25,98,strict,0.05412825513032935,0.3943777179310783,0.24507654267542847
0.25,98,semantic,0.05479764522907535,0.8754901960784315,0.7878505686434609
0.25,99,strict,0.057722016245860354,0.3694650222700669,0.2410595766039004
0.25,99,semantic,0.05549565443644486,0.8180392156862745,0.7916102916000157
0.25,100,strict,0.05616732849936364,0.446839083682277,0.25255250497841736
0.25,100,semantic,0.057045356069247655,0.881764705882353,0.8271607139479412
0.25,101,strict,0.05439590604340745,0.38256549490287295,0.24316094370027205
0.25,101,semantic,0.05704466772743313,0.8356862745098039,0.8260022183162284
