domain,protocol,repeat,doc_id,expected_version,expected_epoch,dense_versions,sparse_versions,stale,future,mixed,missing,answer_error,update_window,latency_ms
flask,weaviate_naive,0,21,2,3,,2,0,0,0,1,1,0,3.8882698863744736
flask,weaviate_naive,0,28,2,3,,2,0,0,0,1,1,0,5.532483570277691
flask,weaviate_naive,0,20,2,3,,2,0,0,0,1,1,0,5.095123313367367
flask,weaviate_naive,0,24,2,3,,2,0,0,0,1,1,1,5.18371257930994
flask,weaviate_naive,0,31,1,0,1,1,0,0,0,0,0,1,13.9049356803298
flask,weaviate_naive,0,31,1,0,1,1,0,0,0,0,0,1,15.008713118731976
flask,weaviate_naive,0,30,1,0,1,1,0,0,0,0,0,1,31.99701104313135
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,3.685658797621727
flask,weaviate_naive,0,36,2,4,1,1,1,0,0,1,1,1,21.60673402249813
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,22.630123421549797
flask,weaviate_naive,0,33,2,4,1,1,1,0,0,1,1,1,5.196277052164078
flask,weaviate_naive,0,35,2,4,1,1,1,0,0,1,1,1,5.732863210141659
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,5.922922864556313
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,5.168162286281586
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,4.4661955907940865
flask,weaviate_naive,0,17,2,2,,2,0,0,0,1,1,1,4.794479347765446
flask,weaviate_naive,0,28,2,3,,2,0,0,0,1,1,1,7.722296752035618
flask,weaviate_naive,0,33,2,4,1,1,1,0,0,1,1,1,6.860873661935329
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,13.758974149823189
flask,weaviate_naive,0,10,2,2,,2,0,0,0,1,1,1,18.757096491754055
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,21.893705241382122
flask,weaviate_naive,0,33,2,4,1,1,1,0,0,1,1,1,19.488905556499958
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,6.635172292590141
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,5.728535354137421
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,5.25191705673933
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,6.722806021571159
flask,weaviate_naive,0,0,2,1,,2,0,0,0,1,1,1,9.641561657190323
flask,weaviate_naive,0,11,2,2,,2,0,0,0,1,1,1,7.957818917930126
flask,weaviate_naive,0,36,2,4,1,1,1,0,0,1,1,1,5.793599411845207
flask,weaviate_naive,0,35,2,4,1,1,1,0,0,1,1,1,6.176025606691837
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,5.488142371177673
flask,weaviate_naive,0,36,2,4,1,1,1,0,0,1,1,1,10.20935270935297
flask,weaviate_naive,0,39,2,4,1,1,1,0,0,1,1,1,6.935448385775089
flask,weaviate_naive,0,37,2,4,1,1,1,0,0,1,1,1,8.640190586447716
flask,weaviate_naive,0,46,1,0,1,1,0,0,0,0,0,1,5.639404058456421
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,5.825541913509369
flask,weaviate_naive,0,31,2,4,1,1,1,0,0,1,1,1,5.167867057025433
flask,weaviate_naive,0,1,2,1,,2,0,0,0,1,1,1,6.627378985285759
flask,weaviate_naive,0,23,2,3,,2,0,0,0,1,1,1,6.791883148252964
flask,weaviate_naive,0,30,2,4,1,1,1,0,0,1,1,1,10.93509141355753
flask,weaviate_naive,0,34,2,4,1,1,1,0,0,1,1,1,16.58441312611103
flask,weaviate_naive,0,38,2,4,1,1,1,0,0,1,1,1,8.141875267028809
