dataset,model,scoring,strategy,recall_at_1,hit_at_1,recall_at_5,hit_at_5,recall_at_10,hit_at_10,recall_at_20,hit_at_20,mrr,ndcg_at_10
meva,qwen25vl_7b,strict,B2_vector_only,0.0009118277765409,0.0259067357512953,0.0072860529188589,0.1139896373056994,0.0117113293513442,0.1502590673575129,0.0252437840853845,0.3160621761658031,0.0836516596472934,0.0269508434136429
meva,qwen25vl_7b,semantic,B2_vector_only,0.0014470762762947,0.1295336787564766,0.0076038176911042,0.3834196891191709,0.0140880270110605,0.4922279792746113,0.0250778125752235,0.7202072538860104,0.2573203488436857,0.1028520209864429
meva,qwen25vl_7b,strict,B3_vector_postfilter,0.0065823204706643,0.1036269430051813,0.038147014568828,0.3523316062176165,0.075507264129205,0.5284974093264249,0.1247604610652318,0.6994818652849741,0.2343334960619048,0.1173091237902272
meva,qwen25vl_7b,semantic,B3_vector_postfilter,0.0012198262611164,0.1036269430051813,0.0076750591388799,0.3523316062176165,0.0154300085660245,0.5284974093264249,0.028205474426215,0.6994818652849741,0.2343334960619048,0.1115797019527646
meva,qwen25vl_7b,strict,B4_prefilter_vector,0.0065823204706643,0.1036269430051813,0.038147014568828,0.3523316062176165,0.0796837439533532,0.5440414507772021,0.1430182819186956,0.7253886010362695,0.2383669688891203,0.1202898836717664
meva,qwen25vl_7b,semantic,B4_prefilter_vector,0.0012198262611164,0.1036269430051813,0.0076750591388799,0.3523316062176165,0.0158321586902559,0.5440414507772021,0.0298017104492106,0.7253886010362695,0.2383669688891203,0.1143548168619798
meva,qwen25vl_7b,strict,B5_hybrid,0.0091758854038422,0.1139896373056994,0.0440536697961268,0.4196891191709844,0.0805365133721584,0.6424870466321243,0.1554048558355847,0.844559585492228,0.2610653745696945,0.1246997068579189
meva,qwen25vl_7b,semantic,B5_hybrid,0.0014365156521792,0.1139896373056994,0.0081121406257236,0.4196891191709844,0.0161857203390047,0.6424870466321243,0.0316953539236409,0.844559585492228,0.2610653745696945,0.1181638050832007
meva,qwen3vl_8b,strict,B0_metadata_only,0.0084625554499129,0.1243523316062176,0.0366456183315801,0.4248704663212435,0.0959354739048603,0.6062176165803109,0.1734357213787639,0.7927461139896373,0.289404281792268,0.144094804606674
meva,qwen3vl_8b,semantic,B0_metadata_only,0.001937366539072,0.1243523316062176,0.0069837763466059,0.4248704663212435,0.0179897532759518,0.6062176165803109,0.0341178531016406,0.7927461139896373,0.289404281792268,0.1383597899343764
meva,qwen3vl_8b,strict,B1_bm25_only,0.0041563301697393,0.082901554404145,0.018812337499262,0.238341968911917,0.0391109296107573,0.3212435233160621,0.0737367980406862,0.4507772020725388,0.1733130273640449,0.0845770136320575
meva,qwen3vl_8b,semantic,B1_bm25_only,0.0039270195801933,0.3316062176165803,0.0182904635782409,0.5233160621761658,0.0361877981359664,0.5751295336787565,0.070296467513386,0.6113989637305699,0.4355181459902897,0.3253483998308636
