pair,kind,selectivity,replicate,method,recall_at_10
date==20200908,natural,0.06477,5,postfilter_hnsw_K4x,0.9374
date==20200908,natural,0.06477,5,single_stage_ivf_batch_np8,0.9719
date==20200908,natural,0.06477,5,single_stage_ivf_batch_np32,0.9982
date==20200909,natural,0.06105,1,postfilter_hnsw_K1x,0.8654
date==20200909,natural,0.06105,1,postfilter_hnsw_K2x,0.9334
date==20200909,natural,0.06105,1,postfilter_hnsw_K4x,0.9334
date==20200909,natural,0.06105,1,single_stage_ivf_batch_np8,0.9731
date==20200909,natural,0.06105,1,single_stage_ivf_batch_np32,0.9987
date==20200909,natural,0.06105,2,postfilter_hnsw_K1x,0.8655
date==20200909,natural,0.06105,2,postfilter_hnsw_K2x,0.9346
date==20200909,natural,0.06105,2,postfilter_hnsw_K4x,0.9346
date==20200909,natural,0.06105,2,single_stage_ivf_batch_np8,0.9679
date==20200909,natural,0.06105,2,single_stage_ivf_batch_np32,0.9984
date==20200909,natural,0.06105,3,postfilter_hnsw_K1x,0.8532
date==20200909,natural,0.06105,3,postfilter_hnsw_K2x,0.9309
date==20200909,natural,0.06105,3,postfilter_hnsw_K4x,0.9309
date==20200909,natural,0.06105,3,single_stage_ivf_batch_np8,0.9738
date==20200909,natural,0.06105,3,single_stage_ivf_batch_np32,0.9989
date==20200909,natural,0.06105,4,postfilter_hnsw_K1x,0.8656
date==20200909,natural,0.06105,4,postfilter_hnsw_K2x,0.9349
date==20200909,natural,0.06105,4,postfilter_hnsw_K4x,0.9349
date==20200909,natural,0.06105,4,single_stage_ivf_batch_np8,0.9735
date==20200909,natural,0.06105,4,single_stage_ivf_batch_np32,0.9993
date==20200909,natural,0.06105,5,postfilter_hnsw_K1x,0.858
date==20200909,natural,0.06105,5,postfilter_hnsw_K2x,0.9366
date==20200909,natural,0.06105,5,postfilter_hnsw_K4x,0.9366
date==20200909,natural,0.06105,5,single_stage_ivf_batch_np8,0.973
date==20200909,natural,0.06105,5,single_stage_ivf_batch_np32,0.999
date==20200915,natural,0.04934,1,postfilter_hnsw_K1x,0.8556
date==20200915,natural,0.04934,1,postfilter_hnsw_K2x,0.9004
date==20200915,natural,0.04934,1,postfilter_hnsw_K4x,0.9004
date==20200915,natural,0.04934,1,single_stage_ivf_batch_np8,0.9655
date==20200915,natural,0.04934,1,single_stage_ivf_batch_np32,0.9983
date==20200915,natural,0.04934,2,postfilter_hnsw_K1x,0.8541
date==20200915,natural,0.04934,2,postfilter_hnsw_K2x,0.8993
date==20200915,natural,0.04934,2,postfilter_hnsw_K4x,0.8993
date==20200915,natural,0.04934,2,single_stage_ivf_batch_np8,0.9648
date==20200915,natural,0.04934,2,single_stage_ivf_batch_np32,0.9979
date==20200915,natural,0.04934,3,postfilter_hnsw_K1x,0.8526
date==20200915,natural,0.04934,3,postfilter_hnsw_K2x,0.8992
