engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w3,hour==12,natural,hour==12,0.15815,20958,175.4,0.9001,0.8837,0.9161,6.398,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.1581)|hour==12,control,hour==12,0.15815,20958,32.0,0.98,0.9759,0.9836,4.149,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==13,natural,hour==13,0.04921,6522,1000.0,0.8993,0.8843,0.9136,4.841,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0492)|hour==13,control,hour==13,0.04921,6522,105.9,0.9024,0.8947,0.9098,4.906,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==14,natural,hour==14,0.0449,5950,1000.0,0.9141,0.9,0.927,6.661,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0449)|hour==14,control,hour==14,0.0449,5950,116.5,0.889,0.8797,0.8978,5.972,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==16,natural,hour==16,0.03445,4565,1000.0,0.7028,0.6784,0.7284,5.338,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0344)|hour==16,control,hour==16,0.03445,4565,148.7,0.8614,0.852,0.8706,5.52,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==17,natural,hour==17,0.12603,16702,218.4,0.9471,0.9356,0.9577,5.748,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.1260)|hour==17,control,hour==17,0.12603,16702,40.2,0.97,0.9656,0.974,6.517,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==18,natural,hour==18,0.04525,5996,768.0,0.8803,0.8642,0.8965,5.563,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0452)|hour==18,control,hour==18,0.04525,5996,117.1,0.8922,0.884,0.9001,5.46,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,hour==19,natural,hour==19,0.08022,10631,1000.0,0.9439,0.9333,0.9535,5.239,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.0802)|hour==19,control,hour==19,0.08022,10631,65.5,0.9535,0.9488,0.9581,5.463,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"hour in [06,18] (daytime)",composite,"hour in [06,18] (daytime)",0.7737,102532,4.5,0.9984,0.9976,0.9991,5.344,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"CTRL(s=0.7737)|hour in [06,18] (daytime)",control,"hour in [06,18] (daytime)",0.7737,102532,5.9,0.9986,0.9978,0.9993,5.937,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"hour in [11,14] (midday)",composite,"hour in [11,14] (midday)",0.3069,40671,80.8,0.9335,0.919,0.9473,4.831,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"CTRL(s=0.3069)|hour in [11,14] (midday)",control,"hour in [11,14] (midday)",0.3069,40671,16.4,0.9872,0.9838,0.9902,5.072,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"hour in [17,19] (evening peak)",composite,"hour in [17,19] (evening peak)",0.2515,33329,123.5,0.9602,0.9498,0.9699,4.777,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,"CTRL(s=0.2515)|hour in [17,19] (evening peak)",control,"hour in [17,19] (evening peak)",0.2515,33329,20.2,0.9827,0.9792,0.986,3.918,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,location in top-5,composite,location in top-5,0.26776,35484,830.5,0.7352,0.7092,0.7612,6.017,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.2678)|location in top-5,control,location in top-5,0.26776,35484,18.6,0.9889,0.9863,0.9911,4.762,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,date in 2020-09,composite,date in 2020-09,0.32112,42555,1000.0,0.9708,0.9658,0.9755,4.098,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
weaviate,w3,CTRL(s=0.3211)|date in 2020-09,control,date in 2020-09,0.32112,42555,15.5,0.9848,0.9816,0.9877,4.065,0,False,"acorn (server default, verified via live schema read-back 2026-07-12)"
