predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,p99_ms,build_s,selector_build_ms,escalated,kprime,degenerate
location==삼정고가교,natural,0.04187,5548,1000.0,postfilter_hnsw_K1x,0.044,0.032,0.057,0.0749,0.0738,0.0764,0.0992,0.0953,0.1021,0.1111,,,,239.0,False
location==삼정고가교,natural,0.04187,5548,1000.0,single_stage_ivf_batch_np8,0.044,0.032,0.057,0.0597,0.0596,0.0598,0.0636,0.0619,0.0996,0.1274,,0.36,,,
location==삼정고가교,natural,0.04187,5548,1000.0,single_stage_ivf_batch_np32,0.0559,0.0426,0.0701,0.07,0.0699,0.0701,0.0815,0.0747,0.2335,0.3453,,0.36,,,
location==삼정고가교,natural,0.04187,5548,1000.0,single_stage_ivf_batch_np128,0.124,0.1044,0.1443,0.1025,0.1022,0.1029,0.2138,0.1544,0.3313,0.6256,,0.36,True,,
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0327,0.0321,0.0335,0.0444,0.0432,0.045,0.0486,0.73,,,,
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,postfilter_hnsw_K1x,0.8295,0.8187,0.8401,0.0762,0.0747,0.0776,0.0988,0.0955,0.1013,0.1134,,,,239.0,False
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,postfilter_hnsw_K2x,0.8623,0.853,0.8714,0.097,0.094,0.0996,0.1317,0.1275,0.1347,0.1564,,,,478.0,False
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,prefilter_flat,1.0,1.0,1.0,0.3896,0.3886,0.3907,0.5136,0.5033,0.5214,0.5813,0.002,,,,
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,postfilter_hnsw_K4x,0.8623,0.853,0.8715,0.1244,0.1217,0.1264,0.1586,0.155,0.1639,0.1765,,,,956.0,False
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,single_stage_ivf_batch_np8,0.9567,0.951,0.9624,0.0663,0.0661,0.0666,0.0719,0.0713,0.0737,0.0788,,0.46,,,
CTRL(s=0.0419)|location==삼정고가교,control,0.04187,5548,121.3,single_stage_ivf_batch_np32,0.9978,0.9966,0.9988,0.0934,0.0927,0.0942,0.1166,0.112,0.1216,0.1357,,0.46,,,
location==계룡대교네거리,natural,0.03898,5166,1000.0,prefilter_flat,1.0,1.0,1.0,0.3543,0.3529,0.3557,0.4668,0.4645,0.4757,0.5181,0.001,,,,
location==계룡대교네거리,natural,0.03898,5166,1000.0,postfilter_hnsw_K1x,0.1051,0.0885,0.1229,0.0802,0.0791,0.0816,0.1061,0.1014,0.1103,0.1225,,,,257.0,False
