replicate,dose,relevance_def,population_edges,selected_edges,selected_clip_ids_sha256
22,0.25,two_plus_bikes,345,86,0154ef24790c922741bacf1e5933e2cc5cc3dfbe3163c8f49178a4846668073d
23,0.25,parked_vehicle,69,17,067a650c31ce28a5fa26d8da9c19c817ab401c8c333f1783ca3801ec9026b2e1
23,0.25,dense_frame,70,17,e4d099015a04a51148c9c4df8ac8b9f98119cc9b66c4b82d2935d1a4bf6c9ebc
23,0.25,multiple_buses,247,61,94f5064d0cbb8b592de6036d10fff1f244fd7d39e2942e510d08fb37fee8ebf4
23,0.25,stopped_vehicles,636,159,5e6c37dfa5788149156e372a6fc5b91651796d481bf8d1678f921fc01cf74b13
23,0.25,two_plus_bikes,345,86,ef1733206145657c56deffacdbad48142ac56e6d173ef3bf2dd0368e0e884564
24,0.25,parked_vehicle,69,17,3c0f99593087ad64ff401c52631e9c601cbe185ffc7414a057c474349d0d77f9
24,0.25,dense_frame,70,17,bc7a78920388c0758e64c9d0e32acfeeb437f9104590c533d33d1c5b6689a88b
24,0.25,multiple_buses,247,61,b0909a26d960341e9f84ab890ac0331ed81d160342972ce8133a2d3574568d3b
24,0.25,stopped_vehicles,636,159,201d07c83d118f8e4e4be3d82cc71f17b9ed76525b50b0862486f24c792a113c
24,0.25,two_plus_bikes,345,86,14cfb57670f9b92275203523184b13357739b85a19ec6fd232aed5d721b064b6
25,0.25,parked_vehicle,69,17,4385829a198663971e2993df72dd1467772f693250421d95061f41c3b4c23bc4
25,0.25,dense_frame,70,17,8fce54eb534f0d214700acb012c3205d39757e814a7634394e9870ff0d8b3003
25,0.25,multiple_buses,247,61,e8d4406841afff529b9b0cb37e8fc7de531ec3119792dbcb6e7cb6aa0fcfb450
25,0.25,stopped_vehicles,636,159,559c58f4670d88ce9764bdc05e51a6914dbcea4099f4f70a5adf638d88bb0a2a
25,0.25,two_plus_bikes,345,86,022688533041107a694f40ccef605e8ba2d8b201fdbcc2737bddb876eb9f7ff4
26,0.25,parked_vehicle,69,17,ec19781a4037624828bc70b17d05a8daa78a9b30e965d996e85ecc2792e513e0
26,0.25,dense_frame,70,17,fef85f9efec851005b71c90ed7c5c3dca06a713f144788edcb93014b22c5e197
26,0.25,multiple_buses,247,61,7f9b23d36b5d214b0d377cdea765025bb72e01b7495bf90737afd2e54a75c749
26,0.25,stopped_vehicles,636,159,33d3a59dfd794bbe29b86e8278906d156bfc1bef280777de99e316bbd4a25193
26,0.25,two_plus_bikes,345,86,26b48ff8ac508d43a419049b107b4b29dec76fdd07d482de36414a531ff9aa79
27,0.25,parked_vehicle,69,17,d46cbbfaa1b438bd993e69ebaca0faa89fd767e222b3a484f24f4eb240d0da1f
27,0.25,dense_frame,70,17,9665867be00eaced615c2b236ac5eb2f290794819ce0f610e4239ffe35d28ef9
27,0.25,multiple_buses,247,61,670ecd7685fbf5c352b1392cb1cf5409aeefe0fbf9052c4563a18a55003b8014
27,0.25,stopped_vehicles,636,159,a743616afcd1176cc9d6aac4bb658b67c8143c8940ba9521a40457f7875a7335
27,0.25,two_plus_bikes,345,86,3f89357b18d018ae9a125b7d7ef753ad659b9da84fbdd624a587033e50f60f8f
28,0.25,parked_vehicle,69,17,0cd3fc234ba3348f96756165013b012d25236a3482c9e195bd477a7ef135e6d4
28,0.25,dense_frame,70,17,a7ef5f418bc8c1d59ef9a20e8ed7463db04114ed89df893effa59bee458967e5
28,0.25,multiple_buses,247,61,f445ec961b53f81e0a7c3441673ba0f3670914e0ba9a01dd41d11b31ceeb06dd
28,0.25,stopped_vehicles,636,159,3845c7c678cc8719f0acbfbd20e64da5d53c2cf53e382242d2530a099a8e4830
28,0.25,two_plus_bikes,345,86,f9689c385b68073b3d8f2bf2c663bf8b458bda36bf9d16f01ec8b65d0b1d9628
29,0.25,parked_vehicle,69,17,9a6cc815b16036a4f59cbf05ae99b1fbcaa3a78b9c184fc60580dc52baffcf8a
29,0.25,dense_frame,70,17,15dd889e8244b2c82d72b40e4bbdb5d01760718e6aafadea18d65d778cb38fbc
29,0.25,multiple_buses,247,61,8e2430137c4a292e57c424bf370149b251d23161820db6fe8983250b10b2d77d
29,0.25,stopped_vehicles,636,159,95060a23b402ae97cd212f6831fed2fdca93f98b13cf2dece4a0a102194cf515
29,0.25,two_plus_bikes,345,86,5d8101458e51382e724d096e692d59612e8936ef98544d8e80715ccdf9717c6f
30,0.25,parked_vehicle,69,17,19dc6530e11dd09220f04ec5cfdfda425b8b3c0a83b4634fba2ea5d69bcdfa0a
30,0.25,dense_frame,70,17,bbea3706004ec54705a614d114595aebad61a1ae732682b866fc3037437e429b
30,0.25,multiple_buses,247,61,1a2a38d75dcb247f67f58a935e687e6a0da9e44e453b57d7ce201e37f7b067b7
30,0.25,stopped_vehicles,636,159,3bc6802a82daf77ab0f5194e5084035c39749aabe29d6838dc81b24cf0c85498
30,0.25,two_plus_bikes,345,86,5dc829bce6f094133196021a7595c0a20d7a5e01a12bfe330fa9cd6b4c2505bd
31,0.25,parked_vehicle,69,17,62b64d8c79d4aa8f451132058ba4d70742eddb85cfae6013efd90203aafe0395
31,0.25,dense_frame,70,17,8afe576af229bcc4725b7419e184bc7c6d4bc1e6ec9619fa6ecf93c188c836a5
31,0.25,multiple_buses,247,61,98be460de837f659dfffec9f0c138b40214c62c715046f4403d92a6875465274
31,0.25,stopped_vehicles,636,159,60c2221b1da2b8d035406715d383676aef67f888d005d3721b6b4b459907f040
31,0.25,two_plus_bikes,345,86,4c3faeb0a9ccc20e4e5cc98392573c21d166918bcea877acd9010dfd750f29cf
32,0.25,parked_vehicle,69,17,b910ddb26a03b5e3349f01f0e9cbee2782fdae2d69a0bc1109cb8c989c1e322d
