predicate,kind,selectivity,subset,gt_cluster_med_rank,method,recall_at_10,r_lo,r_hi,p50_ms,p50_lo,p50_hi,p95_ms,p95_lo,p95_hi,kprime,degenerate,build_s,selector_build_ms,escalated
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,postfilter_hnsw_K1x,0.888,0.8645,0.91,0.0452,0.0441,0.0465,0.0692,0.0641,0.077,37.0,False,,,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,prefilter_flat,1.0,1.0,1.0,3.8718,3.8631,3.8771,4.072,4.0129,4.1234,,,0.031,,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0423,0.0407,0.0441,0.0654,0.0604,0.0697,,,10.943,,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,single_stage_ivf_batch_np8,0.995,0.9905,0.9985,0.0869,0.0853,0.0885,0.1062,0.0999,0.11,,,,2.44,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,single_stage_ivf_batch_np32,0.9995,0.9985,1.0,0.1944,0.1899,0.1979,0.238,0.2341,0.254,,,,2.44,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,single_stage_ivf_bitmap_np32,0.9995,0.9985,1.0,0.173,0.1711,0.1758,0.2318,0.2173,0.2559,,,,18.74,
CTRL(s=0.2712)|sig_has_yellow==False,control,0.27117,39003,19.9,postfilter_hnsw_K2x,0.998,0.9955,1.0,0.0496,0.0485,0.0512,0.0747,0.0701,0.0824,74.0,False,,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,prefilter_hnsw_ef64,1.0,1.0,1.0,0.0397,0.0382,0.0419,0.0622,0.059,0.0644,,,20.929,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,postfilter_hnsw_K1x,0.798,0.7535,0.84,0.0428,0.0421,0.0443,0.0678,0.0607,0.0739,20.0,False,,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,postfilter_hnsw_K4x,0.9435,0.915,0.9685,0.0495,0.0483,0.0507,0.0748,0.069,0.083,80.0,False,,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,postfilter_hnsw_K2x,0.904,0.8685,0.937,0.0448,0.0435,0.0463,0.0682,0.0627,0.0743,40.0,False,,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,prefilter_flat,1.0,1.0,1.0,7.1961,7.1824,7.2086,7.4836,7.3916,7.5551,,,0.056,,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,single_stage_ivf_batch_np8,0.993,0.987,0.9975,0.1022,0.0983,0.1058,0.1296,0.1265,0.1361,,,,3.58,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,single_stage_ivf_batch_np32,0.9995,0.9985,1.0,0.2666,0.2559,0.279,0.4036,0.3829,0.4576,,,,3.58,
sig_has_pedestrian==False,natural,0.50868,73163,9.3,single_stage_ivf_bitmap_np32,0.9995,0.9985,1.0,0.2439,0.2311,0.2554,0.3564,0.3345,0.3737,,,,34.48,
CTRL(s=0.5087)|sig_has_pedestrian==False,control,0.50868,73163,10.7,postfilter_hnsw_K4x,1.0,1.0,1.0,0.0507,0.0494,0.0521,0.0768,0.0699,0.084,80.0,False,,,
