dataset,clip_id,arm,bytes
VRU,vru_accident:CAP_DATA:VRU_152,fusion_stack,115281
VRU,vru_accident:CAP_DATA:VRU_153,raw_video,1029968
VRU,vru_accident:CAP_DATA:VRU_153,caption_stack,5171
VRU,vru_accident:CAP_DATA:VRU_153,center_frame_stack,23791
VRU,vru_accident:CAP_DATA:VRU_153,visual_4frame_stack,92686
VRU,vru_accident:CAP_DATA:VRU_153,fusion_stack,97857
VRU,vru_accident:CAP_DATA:VRU_154,raw_video,779151
VRU,vru_accident:CAP_DATA:VRU_154,caption_stack,5246
VRU,vru_accident:CAP_DATA:VRU_154,center_frame_stack,33955
VRU,vru_accident:CAP_DATA:VRU_154,visual_4frame_stack,136308
VRU,vru_accident:CAP_DATA:VRU_154,fusion_stack,141554
VRU,vru_accident:CAP_DATA:VRU_155,raw_video,1402209
VRU,vru_accident:CAP_DATA:VRU_155,caption_stack,5318
VRU,vru_accident:CAP_DATA:VRU_155,center_frame_stack,23521
VRU,vru_accident:CAP_DATA:VRU_155,visual_4frame_stack,89177
VRU,vru_accident:CAP_DATA:VRU_155,fusion_stack,94495
VRU,vru_accident:CAP_DATA:VRU_156,raw_video,1264077
VRU,vru_accident:CAP_DATA:VRU_156,caption_stack,5013
VRU,vru_accident:CAP_DATA:VRU_156,center_frame_stack,23165
VRU,vru_accident:CAP_DATA:VRU_156,visual_4frame_stack,95880
VRU,vru_accident:CAP_DATA:VRU_156,fusion_stack,100893
VRU,vru_accident:CAP_DATA:VRU_157,raw_video,798197
VRU,vru_accident:CAP_DATA:VRU_157,caption_stack,4977
VRU,vru_accident:CAP_DATA:VRU_157,center_frame_stack,28069
VRU,vru_accident:CAP_DATA:VRU_157,visual_4frame_stack,112295
VRU,vru_accident:CAP_DATA:VRU_157,fusion_stack,117272
VRU,vru_accident:CAP_DATA:VRU_158,raw_video,1622126
VRU,vru_accident:CAP_DATA:VRU_158,caption_stack,5024
VRU,vru_accident:CAP_DATA:VRU_158,center_frame_stack,30565
VRU,vru_accident:CAP_DATA:VRU_158,visual_4frame_stack,122198
VRU,vru_accident:CAP_DATA:VRU_158,fusion_stack,127222
VRU,vru_accident:CAP_DATA:VRU_159,raw_video,926605
VRU,vru_accident:CAP_DATA:VRU_159,caption_stack,4862
VRU,vru_accident:CAP_DATA:VRU_159,center_frame_stack,28924
VRU,vru_accident:CAP_DATA:VRU_159,visual_4frame_stack,117493
