family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
index,semantic,multi_frame__B3_postfilter__ivfflat_np8,multi_frame__B3_postfilter__flat,85,25,-0.01630988160579161,-0.04060780876952193,0.005594498654849721,-0.03018368713095409,-0.0027702847276855295,0.1514,0.0202,18,49,18,0.33032727272727275,0.10464
index,strict,multi_frame__B4_prefilter__ivfflat_np8,multi_frame__B4_prefilter__flat,85,25,-0.016268158736553656,-0.040056897847676985,0.005484676000891642,-0.03491624231036159,0.005385097517213144,0.148,0.1368,23,41,21,0.37692631578947366,0.35494054054054053
index,semantic,multi_frame__B4_prefilter__ivfflat_np8,multi_frame__B4_prefilter__flat,85,25,-0.01583399320868921,-0.039587940869689586,0.005880290023354089,-0.03421107700521773,0.005485191324103928,0.1614,0.1424,23,41,21,0.3439304347826087,0.3694702702702703
index,strict,dual__B2_vector__ivfflat_np8,dual__B2_vector__flat,85,25,-0.003590617406260918,-0.018837716656588264,0.010978882378097066,-0.016504927259246894,0.007786862875168439,0.6338,0.571,20,51,14,0.9115076923076924,0.870095238095238
index,semantic,dual__B2_vector__ivfflat_np8,dual__B2_vector__flat,85,25,-0.015608217846033423,-0.033027279769633884,0.0014710975185698826,-0.04027244126357756,0.00821537438108524,0.0774,0.2098,28,17,40,0.22516363636363634,0.4169142857142857
index,strict,dual__B3_postfilter__ivfflat_np8,dual__B3_postfilter__flat,85,25,-0.004766646952042547,-0.028233211283631196,0.017350802621509828,-0.019650492373196923,0.0086158340535044,0.6876,0.5048,34,22,29,0.9115076923076924,0.7944393442622952
index,semantic,dual__B3_postfilter__ivfflat_np8,dual__B3_postfilter__flat,85,25,-0.005628455830780054,-0.029076839192465037,0.01622319519127704,-0.020360888867935942,0.0078944222403019,0.6306,0.4254,34,22,29,0.8526422535211269,0.658683870967742
index,strict,dual__B4_prefilter__ivfflat_np8,dual__B4_prefilter__flat,85,25,-0.021838747769457188,-0.04947450414093449,0.003657053209634318,-0.049893183355043544,0.009622679694264646,0.1024,0.1774,32,18,35,0.2891294117647059,0.40685714285714286
index,semantic,dual__B4_prefilter__ivfflat_np8,dual__B4_prefilter__flat,85,25,-0.020765331912485595,-0.047678238846803285,0.004143459503617878,-0.049220224526400715,0.010394433289165854,0.1122,0.195,32,18,35,0.26057142857142856,0.416
index,strict,caption__B2_vector__ivfflat_np32,caption__B2_vector__flat,85,25,0.0016818055541499661,0.00010549467108115365,0.003940428098374378,5.085198867995221e-05,0.003992927195446491,0.0096,0.026,5,80,0,0.07089230769230769,0.13136842105263158
index,semantic,caption__B2_vector__ivfflat_np32,caption__B2_vector__flat,85,25,0.006460757374101201,0.0027807916750625327,0.010697299893450493,0.0012635717812242231,0.013311554422327137,0.0,0.0032,15,70,0,0.0,0.03316363636363637
