engine,condition,predicate,kind,pair,selectivity,subset,gt_cluster_med_rank,recall_at_10,r_lo,r_hi,p50_ms_clientRT,flat_cutoff,flat_path,filter_strategy
weaviate,w3,hour==15,natural,hour==15,0.11256,16190,117.7,0.9745,0.959,0.987,4.913,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.1126)|hour==15,control,hour==15,0.11256,16190,47.2,0.9715,0.9615,0.98,4.542,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==16,natural,hour==16,0.01943,2794,311.7,0.834,0.7955,0.8695,6.835,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0194)|hour==16,control,hour==16,0.01943,2794,263.7,0.6765,0.6455,0.708,5.327,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==17,natural,hour==17,0.07809,11232,121.6,0.986,0.9735,0.995,4.669,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0781)|hour==17,control,hour==17,0.07809,11232,67.9,0.9585,0.9485,0.968,5.456,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==18,natural,hour==18,0.10885,15656,715.0,0.9675,0.954,0.9795,5.989,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.1089)|hour==18,control,hour==18,0.10885,15656,47.6,0.97,0.962,0.9775,3.948,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==19,natural,hour==19,0.11023,15854,689.5,0.9695,0.954,0.982,7.247,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.1102)|hour==19,control,hour==19,0.11023,15854,48.7,0.9655,0.956,0.974,5.803,0,False,VectorFilterStrategy.ACORN
weaviate,w3,hour==20,natural,hour==20,0.0757,10888,748.3,0.9475,0.927,0.965,4.37,0,False,VectorFilterStrategy.ACORN
weaviate,w3,CTRL(s=0.0757)|hour==20,control,hour==20,0.0757,10888,69.1,0.9525,0.942,0.963,5.415,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"hour in [11,14] (midday)",composite,"hour in [11,14] (midday)",0.13754,19782,95.5,0.975,0.9555,0.9895,6.597,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"CTRL(s=0.1375)|hour in [11,14] (midday)",control,"hour in [11,14] (midday)",0.13754,19782,39.4,0.974,0.966,0.9815,5.497,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"hour in [8,18] (working)",composite,"hour in [8,18] (working)",0.57356,82495,8.6,1.0,1.0,1.0,4.914,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"CTRL(s=0.5736)|hour in [8,18] (working)",control,"hour in [8,18] (working)",0.57356,82495,9.1,0.9995,0.9985,1.0,5.349,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"time_of_day in {morning,evening}",composite,"time_of_day in {morning,evening}",0.55202,79397,8.2,0.9995,0.9985,1.0,4.707,0,False,VectorFilterStrategy.ACORN
weaviate,w3,"CTRL(s=0.5520)|time_of_day in {morning,evening}",control,"time_of_day in {morning,evening}",0.55202,79397,9.6,1.0,1.0,1.0,4.985,0,False,VectorFilterStrategy.ACORN
