protocol,repeat,doc_id,expected_version,expected_deleted,expected_epoch,dense_version,sparse_version,cache_version,stale,future,mixed,missing,answer_error,update_window,latency_ms
naive_eager,0,67,1,0,0,1,1,1,0,0,0,0,0,1,31.513151712715626
naive_eager,0,58,2,0,0,2,1,1,1,0,1,0,1,1,10.46306174248457
naive_eager,0,33,2,1,0,1,1,1,1,0,0,0,1,1,11.20530255138874
naive_eager,0,103,2,0,0,1,1,1,1,0,0,1,1,1,11.028040200471878
naive_eager,0,9,2,0,0,2,1,1,1,0,1,0,1,1,10.379775427281857
naive_eager,0,33,2,1,0,1,1,1,1,0,0,0,1,1,10.349838994443417
naive_eager,0,58,2,0,0,2,1,1,1,0,1,0,1,1,10.372932069003582
naive_eager,0,48,2,0,0,2,1,1,1,0,1,0,1,1,10.941204614937305
naive_eager,0,100,2,0,0,2,1,1,1,0,1,0,1,1,10.565138421952724
naive_eager,0,41,1,0,0,1,1,1,0,0,0,0,0,1,11.06674037873745
naive_eager,0,1,1,0,0,1,1,1,0,0,0,0,0,1,11.153138242661953
naive_eager,0,81,2,0,0,2,1,1,1,0,1,0,1,1,10.677375830709934
naive_eager,0,3,2,1,0,1,1,1,1,0,0,0,1,1,11.226293630897999
naive_eager,0,103,2,0,0,1,1,1,1,0,0,1,1,1,21.93090133368969
naive_eager,0,61,1,0,0,1,1,1,0,0,0,0,0,1,15.189789235591888
naive_eager,0,96,2,0,0,2,1,1,1,0,1,0,1,1,25.455230847001076
naive_eager,0,103,2,0,0,1,1,1,1,0,0,1,1,1,26.249210350215435
naive_eager,0,123,2,0,0,2,1,1,1,0,1,0,1,1,12.683743610978127
naive_eager,0,9,2,0,0,2,2,1,1,0,1,0,1,1,12.319072149693966
naive_eager,0,13,2,0,0,2,2,1,1,0,1,0,1,1,11.53526920825243
naive_eager,0,103,2,0,0,1,1,1,1,0,0,1,1,1,11.218957602977753
naive_eager,0,64,2,1,0,1,1,1,1,0,0,0,1,1,11.06058806180954
naive_eager,0,9,2,0,0,2,2,1,1,0,1,0,1,1,10.507110506296158
naive_eager,0,100,2,0,0,2,1,1,1,0,1,0,1,1,11.105988174676895
naive_eager,0,103,2,0,0,1,1,1,1,0,0,1,1,1,10.953100398182869
naive_eager,0,17,1,0,0,1,1,1,0,0,0,0,0,1,24.462684988975525
naive_eager,0,76,1,0,0,1,1,1,0,0,0,0,0,1,25.051006115972996
naive_eager,0,35,1,0,0,1,1,1,0,0,0,0,0,1,25.20562242716551
naive_eager,0,33,2,1,0,,,1,1,0,0,0,1,1,37.811742164194584
naive_eager,0,74,2,0,0,2,2,1,1,0,1,0,1,1,10.397876612842083
naive_eager,0,7,1,0,0,1,1,1,0,0,0,0,0,1,10.353156365454197
naive_eager,0,69,1,0,0,1,1,1,0,0,0,0,0,1,10.57375967502594
naive_eager,0,1,1,0,0,1,1,1,0,0,0,0,0,1,10.503632947802544
naive_eager,0,49,2,0,0,2,2,1,1,0,1,0,1,1,11.02564763277769
naive_eager,0,64,2,1,0,,,1,1,0,0,0,1,1,10.32470352947712
naive_eager,0,115,2,1,0,,,1,1,0,0,0,1,1,11.014596559107304
naive_eager,0,49,2,0,0,2,2,1,1,0,1,0,1,1,11.119760572910309
naive_eager,0,55,1,0,0,1,1,1,0,0,0,0,0,1,11.74995955079794
naive_eager,0,105,1,0,0,1,1,1,0,0,0,0,0,0,4.968046210706234
naive_eager,0,74,2,0,0,2,2,2,0,0,0,0,0,0,15.10968990623951
naive_eager,0,49,2,0,0,2,2,2,0,0,0,0,0,0,14.826461672782898
naive_eager,0,10,1,0,0,1,1,1,0,0,0,0,0,0,11.810199357569218
naive_eager,0,48,2,0,0,2,2,2,0,0,0,0,0,1,12.154355645179749
naive_eager,0,102,1,0,0,1,1,1,0,0,0,0,0,1,12.482419610023499
naive_eager,0,90,1,0,0,1,1,1,0,0,0,0,0,1,12.242811731994152
