clip_id,cot_1view_bytes,cot_2view_bytes,visual_1view_bytes,visual_2view_bytes
aihub_multi_angle_cctv:Validation:bs_e4226,4346,8705,120433,243188
aihub_multi_angle_cctv:Training:st_e4814,4352,8735,180608,349733
aihub_multi_angle_cctv:Validation:st_e4902,4456,8934,209879,363517
aihub_multi_angle_cctv:Training:es_e3967,4404,8798,89238,252943
aihub_multi_angle_cctv:Validation:es_e3972,4400,8808,133390,299406
aihub_multi_angle_cctv:Training:lo_e1107,4356,8729,160636,322095
aihub_multi_angle_cctv:Training:fp_e1705,4347,8777,153036,293601
aihub_multi_angle_cctv:Validation:fp_e1526,4458,8904,132939,301721
aihub_multi_angle_cctv:Training:ab_e0673,4293,8611,120991,217674
aihub_multi_angle_cctv:Validation:ab_e0341,4336,8653,169420,266400
aihub_multi_angle_cctv:Training:ph_e2055,4348,8703,150060,292226
aihub_multi_angle_cctv:Training:ms_e3471,4406,8813,157518,245266
aihub_multi_angle_cctv:Validation:ms_e3638,4424,8898,161896,290055
aihub_multi_angle_cctv:Training:md_e2374,4436,8864,161061,319723
aihub_multi_angle_cctv:Validation:md_e2640,4468,8932,107751,242303
aihub_multi_angle_cctv:Training:mp_e2716,4532,9101,150962,283247
aihub_multi_angle_cctv:Validation:mp_e3007,4428,8783,147137,258985
aihub_multi_angle_cctv:Training:bs_e4585,4345,8710,144578,331518
aihub_multi_angle_cctv:Validation:bs_e4495,4443,8848,151393,296796
aihub_multi_angle_cctv:Training:st_e4809,4516,8983,171200,339707
aihub_multi_angle_cctv:Validation:st_e5116,4368,8741,157349,325478
aihub_multi_angle_cctv:Training:es_e4091,4389,8748,164255,335895
aihub_multi_angle_cctv:Validation:es_e3686,4420,8886,140093,304207
aihub_multi_angle_cctv:Training:lo_e1249,4393,8792,155818,300380
aihub_multi_angle_cctv:Training:fp_e1979,4368,8750,161747,356806
aihub_multi_angle_cctv:Validation:fp_e1674,4353,8720,170027,306737
aihub_multi_angle_cctv:Training:ab_e0670,4327,8662,129057,227135
aihub_multi_angle_cctv:Validation:ab_e0669,4326,8618,131687,230229
aihub_multi_angle_cctv:Training:ph_e2033,4370,8734,181179,348488
aihub_multi_angle_cctv:Training:ms_e3469,4390,8834,162709,292765
aihub_multi_angle_cctv:Validation:ms_e3581,4386,8747,151666,297964
aihub_multi_angle_cctv:Training:md_e2104,4509,9015,133834,328402
aihub_multi_angle_cctv:Validation:md_e2666,4405,8815,162817,294437
aihub_multi_angle_cctv:Training:mp_e2830,4483,9003,168259,337911
aihub_multi_angle_cctv:Validation:mp_e3103,4533,9092,166681,346156
aihub_multi_angle_cctv:Training:bs_e4504,4411,8836,159438,328216
aihub_multi_angle_cctv:Validation:bs_e4614,4397,8708,136054,285812
aihub_multi_angle_cctv:Training:st_e5010,4440,8903,145812,322056
aihub_multi_angle_cctv:Validation:st_e4969,4575,9199,166466,338935
aihub_multi_angle_cctv:Training:es_e4029,4407,8874,154999,246584
aihub_multi_angle_cctv:Training:lo_e1222,4394,8768,163284,318795
aihub_multi_angle_cctv:Training:fp_e1407,4342,8662,125184,295323
aihub_multi_angle_cctv:Validation:fp_e1560,4423,8805,132538,303646
aihub_multi_angle_cctv:Training:ab_e0681,4335,8657,110403,206142
aihub_multi_angle_cctv:Validation:ab_e0699,4407,8845,114500,211775
aihub_multi_angle_cctv:Training:ph_e2073,4369,8721,156758,342737
