discordance,ICC,delta,obs_per_cluster,power,DEFF,n_pairs,n_clusters_needed
0.2,0.05,0.05,2,0.9,1.05,1081,568
0.2,0.05,0.05,4,0.8,1.15,838,241
0.2,0.05,0.05,4,0.9,1.15,1081,311
0.2,0.05,0.05,6,0.8,1.25,838,175
0.2,0.05,0.05,6,0.9,1.25,1081,226
0.2,0.05,0.08,2,0.8,1.05,328,172
0.2,0.05,0.08,2,0.9,1.05,423,222
0.2,0.05,0.08,4,0.8,1.15,328,95
0.2,0.05,0.08,4,0.9,1.15,423,122
0.2,0.05,0.08,6,0.8,1.25,328,69
0.2,0.05,0.08,6,0.9,1.25,423,88
0.2,0.05,0.1,2,0.8,1.05,210,110
0.2,0.05,0.1,2,0.9,1.05,271,142
0.2,0.05,0.1,4,0.8,1.15,210,61
0.2,0.05,0.1,4,0.9,1.15,271,78
0.2,0.05,0.1,6,0.8,1.25,210,44
0.2,0.05,0.1,6,0.9,1.25,271,57
0.2,0.1,0.03,2,0.8,1.1,2327,1280
0.2,0.1,0.03,2,0.9,1.1,3003,1652
0.2,0.1,0.03,4,0.8,1.3,2327,757
0.2,0.1,0.03,4,0.9,1.3,3003,976
0.2,0.1,0.03,6,0.8,1.5,2327,582
0.2,0.1,0.03,6,0.9,1.5,3003,751
0.2,0.1,0.05,2,0.8,1.1,838,461
0.2,0.1,0.05,2,0.9,1.1,1081,595
0.2,0.1,0.05,4,0.8,1.3,838,273
0.2,0.1,0.05,4,0.9,1.3,1081,352
0.2,0.1,0.05,6,0.8,1.5,838,210
0.2,0.1,0.05,6,0.9,1.5,1081,271
0.2,0.1,0.08,2,0.8,1.1,328,180
0.2,0.1,0.08,2,0.9,1.1,423,233
0.2,0.1,0.08,4,0.8,1.3,328,107
0.2,0.1,0.08,4,0.9,1.3,423,138
0.2,0.1,0.08,6,0.8,1.5,328,82
0.2,0.1,0.08,6,0.9,1.5,423,106
0.2,0.1,0.1,2,0.8,1.1,210,116
0.2,0.1,0.1,2,0.9,1.1,271,149
0.2,0.1,0.1,4,0.8,1.3,210,69
0.2,0.1,0.1,4,0.9,1.3,271,88
0.2,0.1,0.1,6,0.8,1.5,210,53
0.2,0.1,0.1,6,0.9,1.5,271,68
0.2,0.2,0.03,2,0.8,1.2,2327,1396
0.2,0.2,0.03,2,0.9,1.2,3003,1802
0.2,0.2,0.03,4,0.8,1.6,2327,931
0.2,0.2,0.03,4,0.9,1.6,3003,1201
0.2,0.2,0.03,6,0.8,2.0,2327,776
0.2,0.2,0.03,6,0.9,2.0,3003,1001
0.2,0.2,0.05,2,0.8,1.2,838,503
0.2,0.2,0.05,2,0.9,1.2,1081,649
0.2,0.2,0.05,4,0.8,1.6,838,336
0.2,0.2,0.05,4,0.9,1.6,1081,433
0.2,0.2,0.05,6,0.8,2.0,838,280
0.2,0.2,0.05,6,0.9,2.0,1081,361
0.2,0.2,0.08,2,0.8,1.2,328,197
0.2,0.2,0.08,2,0.9,1.2,423,254
0.2,0.2,0.08,4,0.8,1.6,328,131
0.2,0.2,0.08,4,0.9,1.6,423,169
0.2,0.2,0.08,6,0.8,2.0,328,110
0.2,0.2,0.08,6,0.9,2.0,423,141
0.2,0.2,0.1,2,0.8,1.2,210,126
0.2,0.2,0.1,2,0.9,1.2,271,163
0.2,0.2,0.1,4,0.8,1.6,210,84
0.2,0.2,0.1,4,0.9,1.6,271,109
0.2,0.2,0.1,6,0.8,2.0,210,70
0.2,0.2,0.1,6,0.9,2.0,271,91
0.2,0.3,0.03,2,0.8,1.3,2327,1513
0.2,0.3,0.03,2,0.9,1.3,3003,1952
0.2,0.3,0.03,4,0.8,1.9,2327,1106
0.2,0.3,0.03,4,0.9,1.9,3003,1427
0.2,0.3,0.03,6,0.8,2.5,2327,970
0.2,0.3,0.03,6,0.9,2.5,3003,1251
0.2,0.3,0.05,2,0.8,1.3,838,545
0.2,0.3,0.05,2,0.9,1.3,1081,703
0.2,0.3,0.05,4,0.8,1.9,838,398
0.2,0.3,0.05,4,0.9,1.9,1081,514
0.2,0.3,0.05,6,0.8,2.5,838,349
0.2,0.3,0.05,6,0.9,2.5,1081,451
0.2,0.3,0.08,2,0.8,1.3,328,213
0.2,0.3,0.08,2,0.9,1.3,423,275
0.2,0.3,0.08,4,0.8,1.9,328,156
0.2,0.3,0.08,4,0.9,1.9,423,201
0.2,0.3,0.08,6,0.8,2.5,328,137
0.2,0.3,0.08,6,0.9,2.5,423,176
0.2,0.3,0.1,2,0.8,1.3,210,137
0.2,0.3,0.1,2,0.9,1.3,271,176
0.2,0.3,0.1,4,0.8,1.9,210,100
0.2,0.3,0.1,4,0.9,1.9,271,129
0.2,0.3,0.1,6,0.8,2.5,210,88
0.2,0.3,0.1,6,0.9,2.5,271,113
0.3,0.0,0.03,2,0.8,1.0,3490,1745
0.3,0.0,0.03,2,0.9,1.0,4504,2252
0.3,0.0,0.03,4,0.8,1.0,3490,873
0.3,0.0,0.03,4,0.9,1.0,4504,1126
0.3,0.0,0.03,6,0.8,1.0,3490,582
0.3,0.0,0.03,6,0.9,1.0,4504,751
0.3,0.0,0.05,2,0.8,1.0,1257,629
0.3,0.0,0.05,2,0.9,1.0,1622,811
0.3,0.0,0.05,4,0.8,1.0,1257,315
0.3,0.0,0.05,4,0.9,1.0,1622,406
0.3,0.0,0.05,6,0.8,1.0,1257,210
0.3,0.0,0.05,6,0.9,1.0,1622,271
0.3,0.0,0.08,2,0.8,1.0,491,246
0.3,0.0,0.08,2,0.9,1.0,634,317
0.3,0.0,0.08,4,0.8,1.0,491,123
0.3,0.0,0.08,4,0.9,1.0,634,159
0.3,0.0,0.08,6,0.8,1.0,491,82
0.3,0.0,0.08,6,0.9,1.0,634,106
0.3,0.0,0.1,2,0.8,1.0,315,158
0.3,0.0,0.1,2,0.9,1.0,406,203
0.3,0.0,0.1,4,0.8,1.0,315,79
0.3,0.0,0.1,4,0.9,1.0,406,102
0.3,0.0,0.1,6,0.8,1.0,315,53
0.3,0.0,0.1,6,0.9,1.0,406,68
0.3,0.05,0.03,2,0.8,1.05,3490,1833
0.3,0.05,0.03,2,0.9,1.05,4504,2365
0.3,0.05,0.03,4,0.8,1.15,3490,1004
0.3,0.05,0.03,4,0.9,1.15,4504,1295
0.3,0.05,0.03,6,0.8,1.25,3490,728
0.3,0.05,0.03,6,0.9,1.25,4504,939
0.3,0.05,0.05,2,0.8,1.05,1257,660
0.3,0.05,0.05,2,0.9,1.05,1622,852
0.3,0.05,0.05,4,0.8,1.15,1257,362
0.3,0.05,0.05,4,0.9,1.15,1622,467
0.3,0.05,0.05,6,0.8,1.25,1257,262
0.3,0.05,0.05,6,0.9,1.25,1622,338
0.3,0.05,0.08,2,0.8,1.05,491,258
0.3,0.05,0.08,2,0.9,1.05,634,333
0.3,0.05,0.08,4,0.8,1.15,491,142
0.3,0.05,0.08,4,0.9,1.15,634,183
0.3,0.05,0.08,6,0.8,1.25,491,103
0.3,0.05,0.08,6,0.9,1.25,634,132
0.3,0.05,0.1,2,0.8,1.05,315,165
0.3,0.05,0.1,2,0.9,1.05,406,213
0.3,0.05,0.1,4,0.8,1.15,315,91
0.3,0.05,0.1,4,0.9,1.15,406,117
0.3,0.05,0.1,6,0.8,1.25,315,66
0.3,0.05,0.1,6,0.9,1.25,406,85
0.3,0.1,0.03,2,0.8,1.1,3490,1920
0.3,0.1,0.03,2,0.9,1.1,4504,2477
0.3,0.1,0.03,4,0.8,1.3,3490,1135
0.3,0.1,0.03,4,0.9,1.3,4504,1464
0.3,0.1,0.03,6,0.8,1.5,3490,873
0.3,0.1,0.03,6,0.9,1.5,4504,1126
0.3,0.1,0.05,2,0.8,1.1,1257,691
0.3,0.1,0.05,2,0.9,1.1,1622,892
0.3,0.1,0.05,4,0.8,1.3,1257,409
0.3,0.1,0.05,4,0.9,1.3,1622,527
0.3,0.1,0.05,6,0.8,1.5,1257,315
0.3,0.1,0.05,6,0.9,1.5,1622,406
0.3,0.1,0.08,2,0.8,1.1,491,270
0.3,0.1,0.08,2,0.9,1.1,634,349
0.3,0.1,0.08,4,0.8,1.3,491,160
0.3,0.1,0.08,4,0.9,1.3,634,206
0.3,0.1,0.08,6,0.8,1.5,491,123
0.3,0.1,0.08,6,0.9,1.5,634,159
0.3,0.1,0.1,2,0.8,1.1,315,173
0.3,0.1,0.1,2,0.9,1.1,406,223
0.3,0.1,0.1,4,0.8,1.3,315,103
0.3,0.1,0.1,4,0.9,1.3,406,132
0.3,0.1,0.1,6,0.8,1.5,315,79
0.3,0.1,0.1,6,0.9,1.5,406,102
0.3,0.2,0.03,2,0.8,1.2,3490,2094
0.3,0.2,0.03,2,0.9,1.2,4504,2702
0.3,0.2,0.03,4,0.8,1.6,3490,1396
0.3,0.2,0.03,4,0.9,1.6,4504,1802
0.3,0.2,0.03,6,0.8,2.0,3490,1164
0.3,0.2,0.03,6,0.9,2.0,4504,1502
0.3,0.2,0.05,2,0.8,1.2,1257,754
0.3,0.2,0.05,2,0.9,1.2,1622,973
0.3,0.2,0.05,4,0.8,1.6,1257,503
0.3,0.2,0.05,4,0.9,1.6,1622,649
0.3,0.2,0.05,6,0.8,2.0,1257,419
0.3,0.2,0.05,6,0.9,2.0,1622,541
0.3,0.2,0.08,2,0.8,1.2,491,295
0.3,0.2,0.08,2,0.9,1.2,634,380
0.3,0.2,0.08,4,0.8,1.6,491,197
0.3,0.2,0.08,4,0.9,1.6,634,254
0.3,0.2,0.08,6,0.8,2.0,491,164
0.3,0.2,0.08,6,0.9,2.0,634,212
0.3,0.2,0.1,2,0.8,1.2,315,189
0.3,0.2,0.1,2,0.9,1.2,406,244
0.3,0.2,0.1,4,0.8,1.6,315,126
0.3,0.2,0.1,4,0.9,1.6,406,163
0.3,0.2,0.1,6,0.8,2.0,315,105
0.3,0.2,0.1,6,0.9,2.0,406,136
0.3,0.3,0.03,2,0.8,1.3,3490,2269
0.3,0.3,0.03,2,0.9,1.3,4504,2928
0.3,0.3,0.03,4,0.8,1.9,3490,1658
0.3,0.3,0.03,4,0.9,1.9,4504,2140
0.3,0.3,0.03,6,0.8,2.5,3490,1455
0.3,0.3,0.03,6,0.9,2.5,4504,1877
0.3,0.3,0.05,2,0.8,1.3,1257,817
0.3,0.3,0.05,2,0.9,1.3,1622,1054
0.3,0.3,0.05,4,0.8,1.9,1257,597
0.3,0.3,0.05,4,0.9,1.9,1622,771
